city_query,country,region,locality,district,active_listings
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitematā,Auckland,
Auckland,New Zealand,Auckland,Waitākere Ranges,,
Auckland,New Zealand,Auckland,Waitākere Ranges,Piha,
Auckland,New Zealand,Auckland,Whau,,
Auckland,New Zealand,Auckland,Whau,Avondale,
Auckland,New Zealand,Auckland,Whau,New Lynn,
Auckland,New Zealand,Auckland,Ōrākei,,
Auckland,New Zealand,Auckland,Ōrākei,Remuera,
Auckland,New Zealand,Auckland,Ōrākei,Kohimarama,
Auckland,New Zealand,Auckland,Ōrākei,Saint Heliers,
Auckland,New Zealand,Auckland,Ōrākei,Saint Johns,
Auckland,New Zealand,Auckland,Ōrākei,Mission Bay,
Auckland,New Zealand,Auckland,Ōrākei,Glendowie,
Auckland,New Zealand,Auckland,Ōrākei,Meadowbank,
Auckland,New Zealand,Auckland,Ōrākei,Ellerslie,
Auckland,New Zealand,Auckland,Ōtara-Papatoetoe,,
Auckland,New Zealand,Auckland,Ōtara-Papatoetoe,Papatoetoe,
Christchurch,New Zealand,Canterbury,Christchurch,,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Papanui-Innes Community,
Christchurch,New Zealand,Canterbury,Christchurch,Coastal-Burwood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Papanui-Innes Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Coastal-Burwood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Papanui-Innes Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Papanui-Innes Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Coastal-Burwood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Coastal-Burwood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Spreydon-Cashmere Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Papanui-Innes Community,
Christchurch,New Zealand,Canterbury,Christchurch,Coastal-Burwood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Christchurch,New Zealand,Canterbury,Christchurch,Fendalton-Waimari-Harewood Community,
Christchurch,New Zealand,Canterbury,Christchurch,Papanui-Innes Community,
Christchurch,New Zealand,Canterbury,Christchurch,Halswell-Hornby-Riccarton Community,
Christchurch,New Zealand,Canterbury,Christchurch,Linwood-Central-Heathcote Community,
Queenstown,New Zealand,Otago,Otago,Queenstown-Lakes District,
Queenstown,New Zealand,Otago,Queenstown,,
Queenstown,New Zealand,Otago,Queenstown,Boydtown,
Queenstown,New Zealand,Otago,Queenstown,Goldfield Heights,
Queenstown,New Zealand,Otago,Queenstown,Fernhill,
Queenstown,New Zealand,Otago,Queenstown,Sunshine Bay,
Queenstown,New Zealand,Otago,Queenstown,Kelvin Heights,
